City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,basco,20.4487,121.9702,23.78,66,8,8.29,PH,1680548510
84,punta arenas,-53.15,-70.9167,20.06,30,75,10.29,CL,1680548322
85,skibbereen,51.55,-9.2667,10.06,94,100,3.49,IE,1680548510
86,arroyo,41.6096,-4.7969,12.02,46,0,2.57,ES,1680548510
87,northam,51.0333,-4.2167,9.23,77,5,4.29,GB,1680548387
88,port hedland,-20.3167,118.5667,27.03,83,11,0.0,AU,1680548510
89,polunochnoye,60.8697,60.4153,-1.4,96,100,3.27,RU,1680548512
90,atar,20.5169,-13.0499,37.03,8,21,6.17,MR,1680548512
91,puerto ayora,-0.7393,-90.3518,30.98,88,100,2.68,EC,1680548368
92,mar del plata,-38.0023,-57.5575,20.05,79,75,3.6,AR,1680548415
93,dawei,14.0833,98.2,26.13,76,100,2.31,MM,1680548513
94,seymchan,62.8833,152.4333,-27.25,100,100,0.2,RU,1680548513
95,castro,-24.7911,-50.0119,23.53,57,0,1.4,BR,1680548513
96,tamano,34.4833,133.95,10.0,68,37,2.62,JP,1680548513
97,hermanus,-34.4187,19.2345,13.78,79,19,0.96,ZA,1680548514
98,hay river,60.8156,-115.7999,-11.02,67,75,4.12,CA,1680548514
99,alofi,-19.0595,-169.9187,24.94,94,75,5.14,NU,1680548514
100,tilichiki,60.4667,166.1,-12.09,95,100,4.71,RU,1680548514
101,wilmington,34.2257,-77.9447,22.14,68,75,4.63,US,1680548419
102,kulhudhuffushi,6.6221,73.07,28.22,67,61,3.25,MV,1680548515
103,pochinki,54.6988,44.8668,8.8,68,100,2.27,RU,1680548515
104,arraial do cabo,-22.9661,-42.0278,26.98,61,40,4.12,BR,1680548515
105,hami,42.8,93.45,2.69,28,100,7.32,CN,1680548515
106,qaqortoq,60.7167,-46.0333,2.88,88,100,2.27,GL,1680548516
107,torbay,47.6666,-52.7314,1.99,72,75,10.29,CA,1680548516
108,thompson,55.7435,-97.8558,-13.91,56,20,0.0,CA,1680548516
109,avarua,-21.2078,-159.775,26.03,65,20,2.06,CK,1680548516
110,ostrovnoy,68.0531,39.5131,-4.25,77,20,9.56,RU,1680548516
111,springbok,-29.6643,17.8865,15.41,54,0,2.22,ZA,1680548517
112,nikolskoye,59.7035,30.7861,-0.05,95,100,4.05,RU,1680548517
113,port moresby,-9.4431,147.1797,23.72,94,100,2.62,PG,1680548517
114,sonepur,20.8333,83.9167,29.53,23,68,2.03,IN,1680548517
115,perigueux,45.1833,0.7167,9.67,71,35,1.79,FR,1680548518
116,kita,13.0349,-9.4895,34.04,6,5,1.85,ML,1680548518
117,khani,41.9563,42.9566,6.76,85,100,2.66,GE,1680548518
118,galeana,24.8333,-100.0667,29.24,19,99,3.91,MX,1680548518
119,carnarvon,-24.8667,113.6333,24.2,75,7,6.22,AU,1680548518
120,seoul,37.5683,126.9778,16.78,18,0,5.14,KR,1680548309
121,praia da vitoria,38.7333,-27.0667,17.14,72,40,2.85,PT,1680548519
122,floro,61.5996,5.0328,5.98,70,40,4.63,NO,1680548519
123,oktyabrskoye,43.0645,44.7417,11.08,50,100,2.0,RU,1680548519
124,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,14.92,IS,1680548520
125,sumbe,-11.2061,13.8437,27.58,78,100,3.26,AO,1680548520
126,voh,-20.9667,164.7,23.86,89,100,1.59,NC,1680548520
127,buraydah,26.326,43.975,21.25,14,0,4.03,SA,1680548520
128,khudumelapye,-23.8833,24.75,25.3,35,100,3.49,BW,1680548521
129,lagoa,39.05,-27.9833,14.5,72,100,6.53,PT,1680548521
130,casma,-41.0082,-73.1244,19.58,36,0,1.17,CL,1680548521
131,tecoanapa,16.5167,-98.75,30.75,51,100,5.72,MX,1680548522
132,salalah,17.0151,54.0924,27.02,29,11,4.62,OM,1680548522
133,airai,-8.9266,125.4092,14.08,93,85,1.89,TL,1680548523
134,pevek,69.7008,170.3133,-32.12,99,33,3.45,RU,1680548406
135,cockburn town,21.4612,-71.1419,27.98,61,40,5.14,TC,1680548523
136,qaanaaq,77.484,-69.3632,-21.91,74,6,1.71,GL,1680548524
137,cobija,-11.0267,-68.7692,32.1,62,75,4.12,BO,1680548525
138,huntingdon,52.3305,-0.1865,9.39,76,77,3.5,GB,1680548525
139,touros,-5.1989,-35.4608,28.23,69,94,5.24,BR,1680548525
140,linxi,39.7,118.4333,11.74,27,100,7.19,CN,1680548526
141,ugoofaaru,5.6667,73.0,27.89,72,27,3.44,MV,1680548526
142,berlevag,70.8578,29.0864,-1.0,80,100,10.8,NO,1680548526
143,asau,46.4333,26.4,4.6,98,100,2.02,RO,1680548527
144,cassilandia,-19.1133,-51.7342,28.08,61,32,2.78,BR,1680548528
145,srednekolymsk,67.45,153.6833,-26.53,99,100,1.31,RU,1680548529
146,lata,40.1629,-8.3327,15.04,70,100,2.38,PT,1680548529
147,hutchinson,38.0608,-97.9298,24.29,52,0,0.89,US,1680548395
148,new norfolk,-42.7826,147.0587,12.06,74,100,1.27,AU,1680548531
149,ouesso,1.6136,16.0517,22.18,98,100,2.46,CG,1680548532
150,ponta do sol,32.6667,-17.1,19.51,58,63,3.72,PT,1680548491
151,gazojak,41.1875,61.4036,13.04,34,40,4.78,TM,1680548534
152,kaitangata,-46.2817,169.8464,9.48,85,59,1.69,NZ,1680548496
153,nemuro,43.3236,145.575,1.13,64,0,3.52,JP,1680548534
154,victoria,22.2855,114.1577,22.76,95,97,0.45,HK,1680548318
155,hambantota,6.1241,81.1185,26.19,100,40,1.54,LK,1680548535
156,cherskiy,68.75,161.3,-24.41,90,100,3.81,RU,1680548535
157,muros,42.7762,-9.0603,15.61,76,100,3.69,ES,1680548535
158,chitipa,-9.7024,33.2697,16.55,98,28,1.57,MW,1680548536
159,norman wells,65.282,-126.8329,-7.98,86,100,2.57,CA,1680548537
160,esperance,-33.8667,121.9,18.63,85,99,2.66,AU,1680548463
161,grindavik,63.8424,-22.4338,9.26,93,100,13.38,IS,1680548537
162,north platte,41.1239,-100.7654,12.94,37,20,9.39,US,1680548538
163,itapirapua,-15.8233,-50.6133,27.47,68,24,1.44,BR,1680548538
164,bengkulu,-3.8004,102.2655,23.77,91,100,2.26,ID,1680548539
165,sakaiminato,35.55,133.2333,5.99,100,20,2.06,JP,1680548540
166,constantine,36.365,6.6147,8.67,81,75,5.66,DZ,1680548542
167,erenhot,43.6475,111.9767,0.09,34,100,5.97,CN,1680548542
168,gorontalo,0.5412,123.0595,23.61,98,100,0.92,ID,1680548542
169,kuito,-12.3833,16.9333,15.29,94,16,2.49,AO,1680548537
170,san cristobal,7.7669,-72.225,29.1,50,34,1.37,VE,1680548543
171,karratha,-20.7377,116.8463,27.91,75,10,4.53,AU,1680548543
172,caravelas,-17.7125,-39.2481,25.35,83,100,4.26,BR,1680548544
173,saldanha,-33.0117,17.9442,17.03,85,8,4.31,ZA,1680548544
174,tasiilaq,65.6145,-37.6368,-2.91,86,100,1.86,GL,1680548457
175,san quintin,30.4833,-115.95,14.73,64,2,10.76,MX,1680548545
176,namibe,-15.1961,12.1522,24.1,76,100,6.13,AO,1680548545
